项目,数量,加急/免费,计价数量,单位,单价（未税）,单价（含税）,金额（未税）,税率,金额（含税）,关联订单,客户,委案日期,委托人,备注,时效(h),时效开始日期,时效起算时间,测试
FIB+TEM+EDS,14,,14,Unit,1800,1908,25200,6%,26712,C260129012,洋山港,2026-01-29,,,12,2026-01-29,15:54,
FIB+TEM+EDS,3,,,Unit,1800,1908,5400,6%,5724,C260129011,洋山港,,,,12,2026-01-29,15:02,
2D X-Ray,1,,1,小时,360,381.6,360,6%,381.6,C260129010,金凤路,2026-01-29,,,72,2026-01-29,14:31,
3D显微镜使用,1,,1,小时,350,371,350,6%,371,C260129009,金凤路,2026-01-29,,,72,2026-01-29,14:28,
去封装（Decap）,2,,2,颗,80,84.8,160,6%,169.6,C260129009,金凤路,2026-01-29,,,72,2026-01-29,14:28,
FIB+TEM测试(常规),2,,2,UNIT,2218.87,2352,4437.74,6%,4704,C260129008,洋山港,2026-01-29,,,12,2026-01-29,13:51,
FIB+TEM+EDS,2,,2,EA,1867.92453,1980,3735.84906,6%,3960,C260129007,菱角湖,2026-01-29,,,0,2026-01-29,13:46,
IV曲线测试,1,,1,小时,550,583,550,6%,583,C260129006,淇澳岛,2026-01-29,,,72,2026-01-29,10:43,
FIB+TEM测试(常规),1,,1,UNIT,2218.87,2352,2218.87,6%,2352,C260129005,洋山港,2026-01-29,,,12,2026-01-29,10:43,
FIB+TEM+EDS,1,,1,ea,2218.86792,2352,2218.86792,6%,2352,C260129004,张江实验室,2026-01-29,,,12,2026-01-29,10:25,
EDS测试,1,,,unit,594.34,630,594.34,6%,630,C260128027,洋山港,,,,12,2026-01-28,20:33,
EDS测试,1,,,unit,594.34,630,594.34,6%,630,C260128028,洋山港,,,,12,2026-01-28,21:17,
EDS测试,4,,,unit,594.34,630,2377.36,6%,2520,C260128023,洋山港,,,,12,2026-01-28,17:31,
EDS分析,1,,,UNIT,471.69811,500,471.69811,6%,500,C260128016,锦官韵,,,,12,2026-01-28,16:06,
3D显微镜使用,1,,1,小时,350,371,350,6%,371,C260129003,金凤路,2026-01-29,,,48,2026-01-29,09:17,
去封装（Decap）,2,,2,颗,80,84.8,160,6%,169.6,C260129003,金凤路,2026-01-29,,,48,2026-01-29,09:17,
去金属层（去goldbump）,1,,1,层,200,212,200,6%,212,C260129002,微分,2026-01-29,,,48,2026-01-29,09:06,
一般取芯和去封装 (Decap),1,,1,颗,56.60377,60,56.60377,6%,60,C260129001,情侣路,2026-01-29,,,24,2026-01-29,09:01,
3D显微镜使用,1,,1,小时,471.69811,500,471.69811,6%,500,C260129001,情侣路,2026-01-29,,,24,2026-01-29,09:01,
FIB+TEM测试(常规),1,,1,UNIT,2218.87,2352,2218.87,6%,2352,C260128030,洋山港,2026-01-28,,,12,2026-01-28,23:07,
